Mt,Mk,L,J
říci (0.01362),říci (0.01405),říci (0.01433),říci (0.01793)
Ježíš (0.00934),Ježíš (0.00864),mít (0.00738),Ježíš (0.01553)
mít (0.0069),mít (0.00721),Ježíš (0.00619),otec (0.00826)
člověk (0.0063),přijít (0.00598),člověk (0.00608),mít (0.00791)
jít (0.00613),jít (0.00598),přijít (0.00526),přijít (0.006)
syn (0.00589),člověk (0.00531),dát (0.00412),odpovědět (0.00572)
přijít (0.00589),učedník (0.00418),syn (0.00407),učedník (0.0053)
dát (0.00446),jak (0.00342),jít (0.00396),svět (0.00501)
odpovědět (0.00422),říkat (0.00332),den (0.00391),dát (0.00466)
učedník (0.00422),dát (0.00304),jak (0.00336),člověk (0.00459)
