century,kcal,settl,devindex,house,period,SocCx,AfflProg,AfflCons,devindexextra
-7.5,21250,87500,1.3,51,archaic,1,1,1,1.3
-6.5,21750,112500,2.5,49,archaic,1,1,1,2.5
-5.5,22500,137500,4.25,70,archaic,1,1,1,4.25
-4.5,23500,150000,6.35,149,classical,2,3,2,6.35
-3.5,25000,150000,8.25,230,classical,2,3,2,8.25
-2.5,26500,225000,7.95,,,,,,7.95
-1.5,28000,350000,5.85,,,,,,5.85
-0.5,30000,700000,4.7,,,,,,5.475
0.5,31000,1000000,,,roman,3,2,2,6.205
1.5,30500,1000000,,,roman,3,2,2,7.3
2.5,29500,900000,,,roman,3,2,2,5.475
3.5,28750,800000,,,roman,3,2,2,6.57
